+-----+-----------------+----------------+-------------------+------------------+--------------------+---------------+-----------------+------------+---------------------------------------------------------------------+---------------------+---------------------+---------------------+---------------------+---------------------+-------------------+------------------+-------------------+
|     |   mean_fit_time |   std_fit_time |   mean_score_time |   std_score_time |   param_batch_size |   param_epoch | param_loss_fn   |   param_lr | params                                                              |   split0_test_score |   split1_test_score |   split2_test_score |   split3_test_score |   split4_test_score |   mean_test_score |   std_test_score |   rank_test_score |
|  45 |        16.6576  |    0.0572631   |        0.0107284  |      0.00144836  |                 64 |            50 | Mean            |     0.001  | {'batch_size': 64, 'epoch': 50, 'loss_fn': 'Mean', 'lr': 0.001}     |            0.306846 |            0.306733 |            0.299649 |            0.313903 |            0.311349 |          0.307696 |       0.00486379 |               103 |
|  46 |        16.8501  |    0.273189    |        0.0100126  |      0.00136035  |                 64 |            50 | Mean            |     0.0001 | {'batch_size': 64, 'epoch': 50, 'loss_fn': 'Mean', 'lr': 0.0001}    |            0.358057 |            0.352954 |            0.353896 |            0.356021 |            0.350298 |          0.354245 |       0.00264765 |                68 |
|  47 |        17.8273  |    0.703054    |        0.0116566  |      0.0018882   |                 64 |            50 | Mean            |     1e-05  | {'batch_size': 64, 'epoch': 50, 'loss_fn': 'Mean', 'lr': 1e-05}     |            0.506293 |            0.52208  |            0.531449 |            0.513119 |            0.569607 |          0.52851  |       0.0222238  |                40 |
|  48 |        35.3544  |    0.945189    |        0.0126853  |      0.00228005  |                 64 |           100 | MSE             |     0.01   | {'batch_size': 64, 'epoch': 100, 'loss_fn': 'MSE', 'lr': 0.01}      |            0.21561  |            0.216709 |            0.221178 |            0.220357 |            0.225715 |          0.219914 |       0.00358461 |               167 |
|  49 |        32.7577  |    0.106027    |        0.0109004  |      0.00151401  |                 64 |           100 | MSE             |     0.001  | {'batch_size': 64, 'epoch': 100, 'loss_fn': 'MSE', 'lr': 0.001}     |            0.200876 |            0.209455 |            0.209009 |            0.218128 |            0.199762 |          0.207446 |       0.00667518 |               192 |
|  50 |        32.7227  |    0.160836    |        0.0114134  |      0.00169603  |                 64 |           100 | MSE             |     0.0001 | {'batch_size': 64, 'epoch': 100, 'loss_fn': 'MSE', 'lr': 0.0001}    |            0.243868 |            0.249058 |            0.24042  |            0.250851 |            0.24161  |          0.245162 |       0.0041065  |               144 |
|  51 |        33.0109  |    0.071808    |        0.0115051  |      0.00136447  |                 64 |           100 | MSE             |     1e-05  | {'batch_size': 64, 'epoch': 100, 'loss_fn': 'MSE', 'lr': 1e-05}     |            0.367007 |            0.34818  |            0.345656 |            0.358465 |            0.475894 |          0.37904  |       0.0490216  |                59 |
|  52 |        33.2531  |    0.0669044   |        0.0107356  |      0.00167669  |                 64 |           100 | Mean            |     0.01   | {'batch_size': 64, 'epoch': 100, 'loss_fn': 'Mean', 'lr': 0.01}     |            0.308257 |            0.303425 |            0.295664 |            0.299198 |            0.334761 |          0.308261 |       0.0139028  |               101 |
|  53 |        33.3298  |    0.0560908   |        0.0113942  |      0.00134604  |                 64 |           100 | Mean            |     0.001  | {'batch_size': 64, 'epoch': 100, 'loss_fn': 'Mean', 'lr': 0.001}    |            0.291042 |            0.295345 |            0.295102 |            0.30441  |            0.298972 |          0.296974 |       0.00448636 |               123 |
|  54 |        33.4559  |    0.103452    |        0.0113654  |      0.00160894  |                 64 |           100 | Mean            |     0.0001 | {'batch_size': 64, 'epoch': 100, 'loss_fn': 'Mean', 'lr': 0.0001}   |            0.342865 |            0.334774 |            0.335448 |            0.347142 |            0.333758 |          0.338797 |       0.00527241 |                75 |
|  55 |        33.6157  |    0.167191    |        0.0113375  |      0.00149833  |                 64 |           100 | Mean            |     1e-05  | {'batch_size': 64, 'epoch': 100, 'loss_fn': 'Mean', 'lr': 1e-05}    |            0.423986 |            0.451602 |            0.419105 |            0.423772 |            0.434425 |          0.430578 |       0.0116464  |                47 |
|  56 |        48.9543  |    0.130563    |        0.0123093  |      0.00103172  |                 64 |           150 | MSE             |     0.01   | {'batch_size': 64, 'epoch': 150, 'loss_fn': 'MSE', 'lr': 0.01}      |            0.234052 |            0.217734 |            0.218386 |            0.221388 |            0.210943 |          0.220501 |       0.00758824 |               164 |
|  57 |        49.6271  |    0.873031    |        0.0124333  |      0.00162127  |                 64 |           150 | MSE             |     0.001  | {'batch_size': 64, 'epoch': 150, 'loss_fn': 'MSE', 'lr': 0.001}     |            0.211954 |            0.222104 |            0.202792 |            0.214418 |            0.204825 |          0.211219 |       0.00694468 |               185 |
|  58 |        52.6699  |    1.99579     |        0.0128899  |      0.000765404 |                 64 |           150 | MSE             |     0.0001 | {'batch_size': 64, 'epoch': 150, 'loss_fn': 'MSE', 'lr': 0.0001}    |            0.229485 |            0.222799 |            0.2322   |            0.234826 |            0.234075 |          0.230677 |       0.00434877 |               154 |
|  59 |        49.0489  |    0.0237917   |        0.0121572  |      0.00137431  |                 64 |           150 | MSE             |     1e-05  | {'batch_size': 64, 'epoch': 150, 'loss_fn': 'MSE', 'lr': 1e-05}     |            0.336594 |            0.347747 |            0.322481 |            0.374106 |            0.305703 |          0.337326 |       0.0231616  |                76 |
|  60 |        49.9552  |    0.134281    |        0.0120681  |      0.00094847  |                 64 |           150 | Mean            |     0.01   | {'batch_size': 64, 'epoch': 150, 'loss_fn': 'Mean', 'lr': 0.01}     |            0.290543 |            0.304062 |            0.29828  |            0.303846 |            0.294196 |          0.298185 |       0.00530876 |               119 |
|  61 |        49.885   |    0.142829    |        0.0120542  |      0.00126128  |                 64 |           150 | Mean            |     0.001  | {'batch_size': 64, 'epoch': 150, 'loss_fn': 'Mean', 'lr': 0.001}    |            0.289474 |            0.287744 |            0.292237 |            0.296171 |            0.299865 |          0.293098 |       0.00442208 |               130 |
|  62 |        50.134   |    0.273902    |        0.011648   |      0.00138987  |                 64 |           150 | Mean            |     0.0001 | {'batch_size': 64, 'epoch': 150, 'loss_fn': 'Mean', 'lr': 0.0001}   |            0.333482 |            0.325956 |            0.326078 |            0.325089 |            0.324505 |          0.327022 |       0.00328135 |                82 |
|  63 |        50.1319  |    0.282935    |        0.0121678  |      0.000952649 |                 64 |           150 | Mean            |     1e-05  | {'batch_size': 64, 'epoch': 150, 'loss_fn': 'Mean', 'lr': 1e-05}    |            0.399493 |            0.403521 |            0.394651 |            0.406964 |            0.399696 |          0.400865 |       0.0041501  |                54 |
|  64 |         4.94693 |    0.0328715   |        0.00999436 |      0.00101318  |                128 |            25 | MSE             |     0.01   | {'batch_size': 128, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 0.01}      |            0.225245 |            0.233855 |            0.220093 |            0.217378 |            0.2323   |          0.225774 |       0.00649527 |               159 |
|  65 |         4.95742 |    0.0147078   |        0.00928588 |      2.24759e-05 |                128 |            25 | MSE             |     0.001  | {'batch_size': 128, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 0.001}     |            0.239653 |            0.244976 |            0.235621 |            0.245043 |            0.248379 |          0.242734 |       0.00452353 |               146 |
|  66 |         4.93941 |    0.018009    |        0.0101139  |      0.00102315  |                128 |            25 | MSE             |     0.0001 | {'batch_size': 128, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 0.0001}    |            0.328607 |            0.356022 |            0.328545 |            0.323875 |            0.488433 |          0.365097 |       0.0627072  |                63 |
|  67 |         4.94432 |    0.0240696   |        0.00932264 |      6.02687e-05 |                128 |            25 | MSE             |     1e-05  | {'batch_size': 128, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 1e-05}     |            0.992965 |            0.956339 |            0.938636 |            0.93454  |            0.901025 |          0.944701 |       0.0300415  |                 8 |
|  68 |         5.00991 |    0.0111633   |        0.00978937 |      0.00107706  |                128 |            25 | Mean            |     0.01   | {'batch_size': 128, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 0.01}     |            0.316508 |            0.312964 |            0.315795 |            0.32052  |            0.297458 |          0.312649 |       0.00797009 |                97 |
|  69 |         5.03333 |    0.0075257   |        0.00945678 |      0.000437657 |                128 |            25 | Mean            |     0.001  | {'batch_size': 128, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 0.001}    |            0.324601 |            0.323694 |            0.325743 |            0.331771 |            0.33167  |          0.327496 |       0.00351014 |                80 |
|  70 |         5.02612 |    0.0399737   |        0.00924172 |      6.60637e-05 |                128 |            25 | Mean            |     0.0001 | {'batch_size': 128, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 0.0001}   |            0.396751 |            0.386537 |            0.398716 |            0.394513 |            0.364112 |          0.388126 |       0.0127007  |                55 |
|  71 |         5.04095 |    0.0174952   |        0.00999789 |      0.00100454  |                128 |            25 | Mean            |     1e-05  | {'batch_size': 128, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 1e-05}    |            0.754852 |            0.836871 |            0.748799 |            0.739817 |            0.802209 |          0.77651  |       0.037114   |                20 |
|  72 |         9.80521 |    0.0268965   |        0.00995669 |      0.00127607  |                128 |            50 | MSE             |     0.01   | {'batch_size': 128, 'epoch': 50, 'loss_fn': 'MSE', 'lr': 0.01}      |            0.21081  |            0.209206 |            0.217571 |            0.214134 |            0.21788  |          0.21392  |       0.00349142 |               178 |
|  73 |         9.87771 |    0.0435277   |        0.00976334 |      0.000602233 |                128 |            50 | MSE             |     0.001  | {'batch_size': 128, 'epoch': 50, 'loss_fn': 'MSE', 'lr': 0.001}     |            0.216874 |            0.23124  |            0.217436 |            0.226933 |            0.210876 |          0.220672 |       0.00737209 |               163 |
